id,start_date,end_date,property_id,guest_id
1,2018-09-11,2018-09-26,2,3
2,2019-01-04,2019-02-01,2,2
3,2021-10-01,2021-10-14,1,3
1009999,2022-09-30,2022-10-15,114,743
1010000,2021-04-30,2021-05-18,841,269
1010001,2021-08-22,2021-08-23,708,667
1010002,2019-01-17,2019-01-20,840,136
1010003,2017-02-14,2017-02-23,101,827
1010004,2017-09-10,2017-09-19,199,230
1010005,2023-07-11,2023-08-08,162,303
1010006,2014-07-20,2014-08-13,456,213
1010007,2016-03-28,2016-03-28,103,991
1010008,2017-08-19,2017-09-07,765,478
1010009,2019-01-26,2019-01-27,951,589
1010010,2018-11-15,2018-11-28,523,924
1010011,2022-08-17,2022-08-23,822,28
1010012,2014-07-08,2014-07-29,197,464
1010013,2017-12-26,2018-01-24,814,986
1010014,2017-05-25,2017-06-10,594,546
1010015,2014-06-24,2014-07-21,457,802
1010016,2023-04-24,2023-05-16,725,490
1010017,2017-03-30,2017-04-12,46,446
1010018,2016-10-13,2016-10-24,349,765
1010019,2022-06-18,2022-07-13,911,574
1010020,2017-03-03,2017-04-01,140,912
1010021,2022-01-06,2022-01-26,355,722
1010022,2023-02-17,2023-02-23,900,124
1010023,2023-01-10,2023-01-20,629,52
1010024,2015-12-16,2015-12-16,385,943
1010025,2022-11-25,2022-12-02,621,619
1010026,2021-12-01,2021-12-06,529,212
1010027,2016-02-16,2016-03-11,620,442
1010028,2021-10-31,2021-11-12,500,940
1010029,2014-05-15,2014-06-01,577,534
1010030,2021-07-06,2021-07-23,280,162
1010031,2017-10-28,2017-11-07,37,79
1010032,2018-10-16,2018-11-07,715,562
1010033,2017-01-23,2017-02-07,123,494
1010034,2022-10-23,2022-11-04,111,614
1010035,2019-02-19,2019-02-24,64,607
1010036,2021-06-25,2021-07-12,955,533
1010037,2019-07-26,2019-08-03,934,364
1010038,2016-09-05,2016-09-06,603,733
1010039,2018-12-04,2018-12-05,217,158
1010040,2015-12-12,2015-12-30,217,380
1010041,2020-07-11,2020-07-17,918,820
1010042,2017-08-29,2017-09-01,274,816
1010043,2020-08-29,2020-09-22,100,740
1010044,2020-08-29,2020-09-21,319,74
1010045,2023-02-12,2023-03-01,646,94
1010046,2023-01-23,2023-02-15,508,746
1010047,2017-03-12,2017-04-08,181,462
1010048,2014-11-23,2014-12-15,893,85
1010049,2019-04-20,2019-05-18,117,338
1010050,2016-12-04,2016-12-30,471,665
1010051,2015-10-11,2015-11-09,580,837
1010052,2018-09-23,2018-09-27,519,613
1010053,2016-09-06,2016-09-24,478,386
1010054,2015-05-18,2015-06-05,954,846
1010055,2018-12-21,2019-01-09,104,590
1010056,2023-04-16,2023-04-29,933,140
1010057,2018-10-14,2018-10-29,774,832
1010058,2015-12-01,2015-12-04,458,738
1010059,2015-03-14,2015-04-06,354,503
1010060,2020-06-13,2020-06-22,634,866
1010061,2022-11-10,2022-12-09,205,342
1010062,2023-08-28,2023-09-25,680,77
1010063,2017-07-17,2017-07-20,579,113
1010064,2018-04-22,2018-05-14,752,272
1010065,2022-09-04,2022-09-06,225,764
1010066,2019-06-30,2019-07-02,473,465
1010067,2021-08-28,2021-09-08,134,488
1010068,2022-04-02,2022-04-21,464,433
1010069,2023-06-15,2023-07-14,809,413
1010070,2017-11-28,2017-12-22,425,437
1010071,2021-07-05,2021-08-01,426,553
1010072,2016-05-16,2016-05-27,245,344
1010073,2021-02-08,2021-02-21,583,65
1010074,2021-12-18,2022-01-16,498,247
1010075,2018-09-13,2018-09-23,617,308
1010076,2021-06-06,2021-07-05,861,921
1010077,2021-10-04,2021-10-12,88,451
1010078,2014-05-23,2014-06-07,438,877
1010079,2023-09-14,2023-10-12,785,563
1010080,2016-11-15,2016-11-20,430,140
1010081,2019-11-23,2019-11-28,162,790
1010082,2017-02-23,2017-03-17,723,710
1010083,2021-07-31,2021-07-31,569,497
1010084,2019-12-26,2020-01-03,509,360
1010085,2020-12-06,2020-12-09,631,803
1010086,2020-01-03,2020-01-13,577,310
1010087,2021-03-27,2021-04-09,389,379
1010088,2014-10-22,2014-11-08,461,20
1010089,2021-06-26,2021-06-26,313,113
1010090,2018-05-30,2018-06-16,527,957
1010091,2014-05-25,2014-06-21,730,883
1010092,2020-06-10,2020-06-22,346,860
1010093,2021-03-27,2021-04-06,228,653
1010094,2016-09-16,2016-09-22,676,218
1010095,2020-08-11,2020-08-23,997,971
1010096,2014-11-04,2014-11-21,222,804
1010097,2022-02-27,2022-03-16,38,912
1010098,2022-10-03,2022-10-17,171,680
1010099,2015-09-21,2015-10-20,91,772
1010100,2016-01-16,2016-01-20,139,435
1010101,2020-03-18,2020-04-09,176,597
1010102,2018-12-26,2019-01-23,980,674
1010103,2018-07-04,2018-07-26,570,344
1010104,2019-03-30,2019-04-02,861,937
1010105,2020-08-06,2020-09-03,888,25
1010106,2022-05-31,2022-06-13,21,417
1010107,2019-10-25,2019-11-14,288,396
1010108,2015-01-03,2015-01-04,136,249
1010109,2019-02-12,2019-02-16,27,651
1010110,2017-05-28,2017-06-14,120,269
1010111,2019-09-11,2019-09-24,661,874
1010112,2020-04-25,2020-04-26,811,797
1010113,2017-07-13,2017-08-02,544,370
1010114,2019-11-17,2019-12-11,610,33
1010115,2021-10-22,2021-10-28,914,550
1010116,2023-05-07,2023-05-18,950,818
1010117,2017-03-02,2017-03-06,551,383
1010118,2017-11-30,2017-12-09,366,738
1010119,2019-06-22,2019-07-11,753,499
1010120,2017-03-04,2017-03-17,920,108
1010121,2015-03-25,2015-04-22,523,831
1010122,2020-11-09,2020-12-05,649,388
1010123,2016-04-06,2016-04-13,912,224
1010124,2022-10-31,2022-11-23,580,449
1010125,2016-05-07,2016-05-15,644,687
1010126,2021-04-15,2021-04-19,874,944
1010127,2014-08-17,2014-09-14,209,1
1010128,2019-11-22,2019-12-04,637,368
1010129,2022-12-17,2023-01-12,756,868
1010130,2019-08-20,2019-09-14,316,864
1010131,2018-01-22,2018-02-06,729,823
1010132,2019-01-25,2019-02-03,485,443
1010133,2016-07-24,2016-08-22,261,215
1010134,2017-03-19,2017-03-21,546,146
1010135,2023-06-17,2023-06-19,370,751
1010136,2022-07-16,2022-08-09,94,147
1010137,2022-11-18,2022-12-10,184,347
1010138,2016-04-10,2016-04-26,351,375
1010139,2022-06-11,2022-06-18,261,914
1010140,2019-09-22,2019-10-06,210,330
1010141,2018-04-08,2018-04-16,46,138
1010142,2017-10-11,2017-10-20,292,430
1010143,2016-10-31,2016-10-31,561,817
1010144,2018-07-28,2018-08-01,759,466
1010145,2016-10-05,2016-10-25,219,271
1010146,2020-10-12,2020-11-03,951,825
1010147,2016-09-18,2016-09-19,763,118
1010148,2020-03-11,2020-03-14,813,111
1010149,2015-07-18,2015-07-31,114,68
1010150,2020-06-29,2020-07-19,90,447
1010151,2021-03-03,2021-03-14,726,51
1010152,2021-05-11,2021-06-03,463,449
1010153,2022-08-15,2022-08-31,921,773
1010154,2023-03-24,2023-03-27,27,817
1010155,2016-08-30,2016-09-01,588,935
1010156,2022-01-08,2022-01-09,257,509
1010157,2016-05-02,2016-05-21,746,682
1010158,2022-12-20,2023-01-04,808,336
1010159,2018-07-07,2018-08-05,181,851
1010160,2017-06-25,2017-07-02,389,51
1010161,2014-11-09,2014-11-17,740,57
1010162,2016-11-24,2016-12-05,315,173
1010163,2022-06-28,2022-07-20,335,389
1010164,2014-11-16,2014-12-04,14,630
1010165,2019-11-13,2019-12-12,809,35
1010166,2015-05-27,2015-06-25,473,667
1010167,2017-04-27,2017-05-08,483,984
1010168,2018-06-07,2018-06-22,83,643
1010169,2023-04-15,2023-04-16,837,562
1010170,2020-07-29,2020-08-22,397,294
1010171,2015-03-25,2015-04-13,558,936
1010172,2021-06-26,2021-07-08,616,810
1010173,2015-07-22,2015-08-20,603,798
1010174,2018-04-08,2018-05-05,628,199
1010175,2016-07-18,2016-08-04,407,413
1010176,2018-12-10,2018-12-11,668,633
1010177,2019-07-08,2019-07-24,435,135
1010178,2017-11-16,2017-12-06,74,605
1010179,2016-06-16,2016-06-20,280,433
1010180,2016-04-22,2016-05-10,486,400
1010181,2022-09-02,2022-09-22,284,640
1010182,2019-05-29,2019-06-01,14,750
1010183,2015-05-03,2015-05-08,537,377
1010184,2022-09-28,2022-10-26,269,345
1010185,2023-11-13,2023-11-23,370,791
1010186,2018-07-08,2018-07-16,129,563
1010187,2018-06-17,2018-07-12,164,773
1010188,2014-07-04,2014-07-26,822,584
1010189,2019-09-18,2019-10-05,42,301
1010190,2022-01-10,2022-02-04,491,402
1010191,2023-04-03,2023-04-23,359,854
1010192,2019-12-09,2020-01-02,667,115
1010193,2022-09-16,2022-10-05,593,110
1010194,2015-03-06,2015-03-15,632,722
1010195,2017-06-02,2017-06-19,243,245
1010196,2014-06-08,2014-07-02,904,15
1010197,2022-01-20,2022-01-22,837,167
1010198,2019-05-11,2019-05-18,308,897
1010199,2020-01-19,2020-02-13,270,29
1010200,2015-11-22,2015-11-22,518,984
1010201,2022-01-11,2022-01-27,630,672
1010202,2016-12-07,2016-12-25,759,767
1010203,2019-05-23,2019-06-15,304,283
1010204,2015-04-30,2015-05-01,530,164
1010205,2021-06-01,2021-06-06,823,515
1010206,2017-04-08,2017-05-03,266,515
1010207,2019-12-12,2019-12-26,976,702
1010208,2019-07-03,2019-07-10,81,798
1010209,2015-05-28,2015-06-09,22,632
1010210,2020-10-06,2020-11-03,369,920
1010211,2017-03-25,2017-04-03,277,835
1010212,2016-10-07,2016-10-26,86,798
1010213,2018-03-09,2018-03-13,686,970
1010214,2021-03-30,2021-04-27,974,188
1010215,2016-01-27,2016-02-11,990,507
1010216,2017-12-27,2018-01-01,482,614
1010217,2019-12-11,2020-01-08,424,798
1010218,2017-09-07,2017-09-07,255,351
1010219,2017-03-27,2017-04-07,544,462
1010220,2015-01-24,2015-01-28,162,230
1010221,2015-01-17,2015-02-01,916,780
1010222,2015-04-10,2015-04-15,605,511
1010223,2015-03-02,2015-03-11,393,550
1010224,2020-06-16,2020-07-15,49,87
1010225,2021-12-12,2022-01-02,343,110
1010226,2017-08-15,2017-09-01,287,636
1010227,2016-04-19,2016-05-13,450,789
1010228,2018-08-27,2018-09-16,312,459
1010229,2020-01-03,2020-01-04,653,735
1010230,2014-12-23,2014-12-28,454,697
1010231,2021-02-22,2021-03-22,8,10
1010232,2021-10-30,2021-11-16,542,15
1010233,2022-11-28,2022-12-18,729,861
1010234,2018-09-03,2018-09-15,898,530
1010235,2021-04-04,2021-04-12,267,623
1010236,2019-09-02,2019-09-10,732,423
1010237,2020-12-27,2021-01-15,292,975
1010238,2022-04-26,2022-05-23,125,635
1010239,2023-02-08,2023-02-08,7,219
1010240,2016-05-13,2016-06-06,4,383
1010241,2020-02-06,2020-02-17,874,763
1010242,2019-08-10,2019-08-28,122,515
1010243,2019-08-05,2019-08-15,462,195
1010244,2021-04-26,2021-05-18,734,685
1010245,2021-08-23,2021-08-31,179,219
1010246,2020-01-04,2020-01-24,266,523
1010247,2019-02-28,2019-03-19,25,76
1010248,2020-03-02,2020-03-16,963,935
1010249,2022-08-27,2022-09-24,672,407
1010250,2022-01-31,2022-02-19,58,584
1010251,2022-06-15,2022-06-30,811,194
1010252,2015-06-13,2015-07-10,605,469
1010253,2022-06-08,2022-07-05,445,401
1010254,2015-12-27,2015-12-31,411,132
1010255,2022-01-02,2022-01-09,212,644
1010256,2020-12-14,2021-01-08,204,276
1010257,2022-04-04,2022-05-03,245,913
1010258,2015-01-29,2015-02-01,659,38
1010259,2022-11-07,2022-11-19,325,794
1010260,2023-01-08,2023-01-09,425,911
1010261,2018-01-07,2018-01-26,410,201
1010262,2020-03-29,2020-04-21,664,337
1010263,2015-07-28,2015-08-07,437,409
1010264,2022-04-25,2022-05-19,279,146
1010265,2020-05-08,2020-05-13,341,505
1010266,2018-09-18,2018-09-19,492,71
1010267,2017-02-12,2017-03-04,393,350
1010268,2016-09-09,2016-09-15,409,454
1010269,2014-12-15,2015-01-04,682,152
1010270,2022-02-10,2022-03-06,74,790
1010271,2021-04-24,2021-05-12,957,449
1010272,2021-12-05,2021-12-06,962,12
1010273,2015-06-23,2015-07-19,267,486
1010274,2022-07-31,2022-08-12,308,990
1010275,2020-01-07,2020-01-17,466,574
1010276,2018-04-13,2018-04-28,938,733
1010277,2022-06-26,2022-07-18,947,662
1010278,2022-04-09,2022-05-06,489,393
1010279,2022-02-06,2022-02-27,325,216
1010280,2020-07-20,2020-08-16,423,132
1010281,2015-06-17,2015-06-21,264,106
1010282,2019-12-22,2020-01-03,138,8
1010283,2020-06-19,2020-06-23,217,293
1010284,2021-07-16,2021-07-20,785,150
1010285,2016-07-15,2016-07-29,553,63
1010286,2016-01-01,2016-01-07,811,88
1010287,2016-08-01,2016-08-03,525,710
1010288,2018-02-01,2018-02-16,914,326
1010289,2022-05-27,2022-06-16,850,713
1010290,2023-08-08,2023-08-24,557,990
1010291,2018-12-23,2019-01-05,904,95
1010292,2022-02-10,2022-03-05,678,910
1010293,2021-09-21,2021-09-21,477,231
1010294,2019-10-07,2019-10-24,78,790
1010295,2016-03-17,2016-03-26,679,363
1010296,2018-10-07,2018-10-19,961,45
1010297,2016-06-09,2016-06-10,330,180
1010298,2017-12-08,2017-12-31,813,154
1010299,2021-03-13,2021-04-08,310,813
1010300,2015-01-21,2015-02-17,554,825
1010301,2018-10-22,2018-11-14,956,456
1010302,2020-05-31,2020-06-20,374,926
1010303,2018-11-25,2018-12-04,421,173
1010304,2022-05-06,2022-05-09,468,483
1010305,2023-04-21,2023-05-20,793,698
1010306,2016-07-15,2016-08-13,600,240
1010307,2017-12-24,2017-12-30,62,716
1010308,2021-06-14,2021-06-29,622,92
1010309,2022-01-06,2022-02-04,207,243
1010310,2015-05-20,2015-06-03,985,407
1010311,2017-02-13,2017-02-17,830,218
1010312,2019-10-23,2019-11-12,973,689
1010313,2023-06-05,2023-06-18,575,106
1010314,2014-12-23,2014-12-24,515,11
1010315,2021-08-25,2021-09-21,420,254
1010316,2014-08-15,2014-08-21,383,799
1010317,2023-07-09,2023-07-23,571,914
1010318,2020-10-21,2020-11-04,49,565
1010319,2021-01-21,2021-02-11,779,208
1010320,2017-02-13,2017-02-21,768,659
1010321,2023-03-26,2023-03-26,716,528
1010322,2023-04-16,2023-05-02,803,5
1010323,2017-02-22,2017-03-04,935,426
1010324,2017-11-13,2017-12-06,821,522
1010325,2022-10-13,2022-11-06,965,564
1010326,2020-12-05,2020-12-15,161,251
1010327,2023-10-05,2023-10-17,49,385
1010328,2020-09-20,2020-10-07,178,568
1010329,2021-12-27,2022-01-01,852,620
1010330,2019-01-02,2019-01-04,554,766
1010331,2017-03-11,2017-03-11,850,932
1010332,2021-03-06,2021-03-14,307,466
1010333,2016-11-20,2016-11-30,678,688
1010334,2019-12-12,2019-12-30,9,961
1010335,2019-02-13,2019-03-01,960,918
1010336,2022-05-25,2022-05-30,189,423
1010337,2018-05-07,2018-05-23,532,272
1010338,2017-08-17,2017-08-26,879,9
